,alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
204,12.0,Greece,18.46,Syrah,20.1,Porto Carras,Porto Carras - Syrah (2257),Red,2007
205,12.5,Greece,14.44,Chardonnay,15.7,Karipidis,Karipidis - Chardonnay (354),White,2018
206,13.0,Greece,13.59,Robola,15.1,Gentilini Kosmetatos,Gentilini Robola Kefalonia (224),White,2018
207,13.0,Greece,9.09,Chardonnay,10.1,Lantides,Chardonnay Lantides (1748),White,2018
208,12.0,Greece,8.91,Moshofilero,9.9,Tselepos,Tselepos - Mantinea  (2028),White,2018
209,13.238694638694637,Greece,15.0,Agiorgitiko,16.3,Tselepos,Amalia Rose (3145),Red,2018
210,15.0,Greece,10.62,Merlot,11.8,Mylopotamos,Mylopotamos - Nama (2482),Red,2009
211,14.0,Greece,16.19,Agiorgitiko,17.6,Dryopi,Dryope Estate - Reserve (52),Red,2015
212,12.5,Greece,16.19,Gewurztraminer,17.6,Tselepos,Melissopetra (84),White,2018
213,13.0,Greece,8.91,Agiorgitiko,9.9,Dryopi,Dryope Estate - Rose (261),Red,2017
214,14.0,Greece,16.19,Chardonnay,17.6,Tselepos,Marmarias (85),White,2017
215,14.0,Greece,26.22,Merlot,28.5,Tselepos,Kokkinomylos (547),Red,2017
216,13.0,Greece,8.37,Chardonnay,9.1,Sgouridis,Sgouridi Sigma - White (2110),White,2016
217,12.5,Greece,8.28,Malagouzia,9.2,Mylonas,Mylonas - Malagouzia (2671),White,2018
218,13.5,Greece,9.99,Syrah,11.1,Douloufakis,Douloufakis - Syrah (2282),Red,2014
219,13.5,Greece,9.48,Syrah,10.3,Sgouridis,Sgouridi Sigma - Red (2245),Red,2015
220,14.0,Greece,23.85,Limnio,26.5,Kikones,Kikones Limnio (2672),Red,2016
221,9.0,Greece,42.78,Aidani,46.5,Sigalas,Sigalas - Vinsanto (481),White,2013
222,14.0,Greece,18.36,Cabernet Sauvignon,20.4,Kikones,Kikones Ippeas (2673),Red,2016
223,13.7,Greece,13.68,Mantilaria,15.0,Sigalas,Sigalas - Mavrotragano Mandilaria (2541),Red,2017
224,13.238694638694637,Greece,16.01,Gewurztraminer,17.4,Semeli,Semeli Gewurztraminer (497),White,2018
225,13.5,Greece,24.75,Syrah,26.9,Kikones,Kikones Syrah (2674),Red,2015
226,13.238694638694637,Greece,26.4,Agiorgitiko,28.7,Aivalis,Le Sang de la Pierre  (3802),Red,2017
227,13.0,Greece,27.45,Aidani,30.5,Sigalas,Sigalas - Aidani (2612),White,2014
228,13.238694638694637,Greece,11.16,Monemvasia,12.4,Sigalas,Sigalas - Assyrtiko Monemvasia (4129),White,2018
229,14.0,Greece,16.28,Gewurztraminer,17.7,ALPHA,Alpha Estate - Omega (102),White,2016
230,13.0,Greece,15.64,Chardonnay,17.0,ALPHA,Alpha Estate - Chardonnay (1851),White,2017
231,14.5,Greece,26.59,Merlot,28.9,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2013),Red,2013
232,12.5,Greece,6.21,Agiorgitiko,6.8,Theodorakakos,Perivleptos Red (2083),Red,2013
233,13.4,Greece,13.89,Merlot,15.1,Claudia Papayianni, Domaine Claudia Papayianni Red (2542),Red,2016
234,14.5,Greece,50.78,Syrah,55.2,ALPHA,Alpha Estate - ONE (101_2011),Red,2013
235,14.5,Greece,25.48,Merlot,27.7,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2012),Red,2012
236,13.0,Greece,15.64,Sauvignon Blanc,17.0,ALPHA,Alpha Estate - Sauvignon Blanc Fume (3210),White,2018
237,13.238694638694637,Greece,27.42,Monemvasia,29.8,Moraitis,Malvasia Paros (3999),White,2011
238,14.5,Greece,36.62,Merlot,39.8,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2009),Red,2009
239,14.5,Greece,56.58,Merlot,61.5,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2005),Red,2005
240,14.5,Greece,62.1,Merlot,67.5,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2004),Red,2004
241,13.0,Greece,7.74,Merlot,8.6,Kir Yiannis,Paraga - Red (95),Red,2017
242,15.0,Greece,16.1,Merlot,17.5,Lazaridis Costas,Chateau Julia - Merlot (42),Red,2011
243,13.0,Greece,6.53,Grenache Rouge,7.1,Avantis,Avantis Estate - Rose (107),Red,2012
244,13.0,Greece,10.86,Gewurztraminer,11.8,Avantis,Avantis Estate - Lenga (106),White,2012
245,14.0,Greece,22.82,Syrah,24.8,Avantis,Avantis Estate - Agios Chronos (109),Red,2012
246,13.5,Greece,12.51,Chardonnay,13.6,Kir Yiannis,Tesseris Limnes (316),White,2018
247,14.5,Greece,31.92,Syrah,34.7,Kir Yiannis,Diaporos (319),Red,2016
248,13.238694638694637,Greece,8.46,Moshofilero,9.2,Troupis Estate,Tomi Mantineia (2982),White,2017
249,13.238694638694637,Greece,9.84,Chardonnay,10.7,Barafakas Estate,Thousand Years White (3171),White,2015
250,12.5,Greece,6.39,Viognier,7.1,Avantis,Avantis Estate - White (2416),White,2012
251,13.238694638694637,Greece,6.72,Malagouzia,7.3,Barafakas Estate,Ampelou Idea White (2920),White,2017
252,13.238694638694637,Greece,15.82,Chardonnay,17.2,Zafeirakis,Propodes (3915),White,2016
253,13.238694638694637,Greece,27.42,Gewurztraminer,29.8,Kir Yiannis,Chrysogerakas (3273),White,2013
254,14.0,Greece,13.8,Chardonnay,15.0,Techni Oinou,Idisma Drios - Chardonnay (2038),White,2016
255,13.0,Greece,10.86,Gewurztraminer,11.8,Avantis,Avantis Estate - Lenga (4198),Red,2012
256,14.0,Greece,13.8,Syrah,15.0,Techni Oinou,Idisma Drios - Syrah (2208),Red,2011
