THEMA - Rose (465),,12.00,11.04,Pavlidis,Tempranillo,2018,750ml,13%
Biblia Chora Estate - White (49),,12.50,,Vivlia Chora,Sauvignon Blanc,2018,750ml,13.5%
Ovilos - Red (209),,27.50,,Vivlia Chora,Cabernet Sauvignon,2013,750ml,14%
Apiliotis Mezzo (480),,36.70,33.76,Sigalas,Mantilaria,2011,500ml,9%
Gerovassiliou - White (1768),,12.50,,Γεροβασιλείου (Κτήμα),Malagouzia,2018,750ml,12.5%
Four "4" (2445_2010),,74.60,68.63,Aivalis,Agiorgitiko,2014,750ml,14%
Skouras - Agiorgitiko  (15),,9.70,8.92,Skouras,Agiorgitiko,2016,750ml,13.5%
Kalogeri Malagouzia (2871),,10.50,9.66,Papagiannakos,Malagouzia,2017,750ml,12%
Nostos Grenache (387),,19.10,,Manoussakis,Grenache Rouge,2016,750ml,14.5%
Gerovassiliou - Chardonnay (242),,18.80,,Γεροβασιλείου (Κτήμα),Chardonnay,2017,750ml,13.5%
Santorini Nichteri Reserve (1322),,25.40,23.37,SantoWines,Aidani,2016,750ml,13,9%
Gerovassiliou - Evangelo (244),,31.20,,Γεροβασιλείου (Κτήμα),Syrah,2015,750ml,14%
Gerovassiliou - Red (55),,16.30,,Γεροβασιλείου (Κτήμα),Merlot,2016,750ml,13.5%
Kikones White (2675),,,,Kikones,Chardonnay,2017,750ml,13.5%
Gerovassiliou - Syrah (245),,19.40,,Γεροβασιλείου (Κτήμα),Syrah,2015,750ml,14%
Trilogia (363),,34.90,,Kokalis,Cabernet Sauvignon,2014,750ml,14%
Samos Grand Cru 0.5lt (2494),,7.80,,Samos,Moshato Samou,2016,500ml,15%
Psithiros Red (2893),,11.90,,Silva-Daskalaki,Cabernet Sauvignon,2014,750ml,13,5%
Ftelia (2233),,17.00,,Tsiolis,Cabernet Sauvignon,2007,750ml,12.5%
Kalogeri Malagouzia (2871_2017),,10.50,9.66,Papagiannakos,Malagouzia,2017,750ml,12%
Samos Anthemis 0.5lt (2557),,8.80,,Samos,Moshato Samou,2011,500ml,15%
Instinct Red (2891),,19.20,,Silva-Daskalaki,Syrah,2011,750ml,14%
Nemea Epilegmenos (443),,22.50,20.70,Parparousis,Agiorgitiko,2013,750ml,13%
Plagios - Red (2501),,19.40,,Vivlia Chora,Merlot,2012,750ml,15%
Chateau Porto Carras Magnum (M472),,43.80,,Porto Carras,Cabernet Franc,1500,13.5%,
Kanenas - Rose (543),,12.00,11.04,Tsantalis,Syrah,2017,750ml,12.5%
Oinari (440),,8.90,,Parparousis,Agiorgitiko,2015,750ml,12.5%
Estate Argyros - Vinsanto 4 years (2620),,31.00,,Argyros,Aidani,2011,500ml,13.5%
Vinsanto 12 years Barrel Aged (2630),,55.80,,Argyros,Aidani,2016,13,5%,
Meliasto (18),,8.30,,Spiropoulos,Agiorgitiko,2017,750ml,12%
Gerovassiliou - Malagouzia Late Harvest (246),,24.80,,Γεροβασιλείου (Κτήμα),Malagouzia,2015,500ml,13%
Frouri - Mantinea (501),,7.40,,Spiropoulos,Moshofilero,2016,750ml,12%
Ode Panos (505),,10.10,,Spiropoulos,Moshofilero,2016,750ml,11.5%
Vogiatzis - White (2669),,8.70,,Vogiatzis,Chardonnay,2017,750ml,12,5%
Domaine Katsaros - Red (296),,22.10,,Katsaros,Cabernet Sauvignon,2013,750ml,14%
Frouri Nemea (3051),,8.20,,Spiropoulos,Agiorgitiko,2014,750ml,13.5%
Biblia Chora Estate - Red (48),,16.30,,Vivlia Chora,Cabernet Sauvignon,2017,750ml,13.5%
Vogiatzis Estate - Red (2879),,10.40,,Vogiatzis,Cabernet Sauvignon,2016,750ml,13,5%
Iouliatiko (2216),,26.20,24.11,Boutari,Liatiko,2006,500ml,15%
Refosco Klonos Mercury (2222),,18.50,17.16,Mercury,Refosco,2016,750ml,13%
AENAON Merlot (1784),Available in three work days,12.60,11.34,Lantides,Merlot,2016,750ml,13.5%
Bee (2694),Available in three work days,8.90,8.19,Palivos,Agiorgitiko,,,
ANAX (154_2015),,27.50,25.30,Antonopoulos,Chardonnay,2015,750ml,14%
Folia (2185),Available in three work days,11.70,10.76,Ampelois,Chardonnay,2017,750ml,13%
Gentilini Robola Kefalonia Wild Paths (3810),,21.70,19.53,Gentilini Kosmetatos,Robola,2018,750ml,13.2%
